name,start,end,cagr,vol,sharpe,excess_sharpe,maxdd,calmar,turnover_ann,beta_spy,corr_spy,final,observations,cost_bps
trend3_plus_20pct_static_qqq,2007-01-03,2026-07-31,0.11485495085067887,0.12102990864863991,0.9651471854636293,0.8371175349405721,-0.19763335040068797,0.5811516660412749,2.6348356693655033,0.4730071205597934,0.7664479225688091,8.39883649132129,4925,5
trend3_plus_20pct_static_qqq,2007-01-03,2026-07-31,0.1133863936223054,0.12101465150749345,0.954761970907989,0.8265278178692556,-0.19877475149274648,0.5704265394412681,2.6348356693655033,0.4729264127767388,0.7664137606845317,8.184916471444712,4925,10
trend3_plus_20pct_static_qqq,2007-01-03,2026-07-31,0.1104534930038743,0.12099457521892236,0.9339031106423563,0.8052695898052971,-0.20135643938185066,0.5485471105019454,2.6348356693655033,0.47276499721063003,0.7662792997679203,7.773065964932166,4925,20
trend3_plus_20pct_static_qqq,2007-01-03,2026-07-31,0.10606466251677626,0.1209905665091584,0.9024070867391537,0.7731991145785425,-0.2054519973562201,0.5162503352687173,2.6348356693655033,0.4725228738614671,0.7659122307646052,7.1933149742561735,4925,35
trend3_plus_20pct_static_qqq,2007-01-03,2026-07-31,0.10168843392802684,0.121017885632236,0.870683523965229,0.7409313926764308,-0.20952949791451136,0.4853179859645157,2.6348356693655037,0.4722807505123036,0.7653469611921652,6.656243431973911,4925,50
trend3_plus_25pct_static_qqq,2007-01-03,2026-07-31,0.11815817378606863,0.12525684588196795,0.9602983565244492,0.8360933612914445,-0.22160083424942534,0.5332027480233867,2.4836899854040446,0.5076794270903454,0.7948693876062713,8.899556964421539,4925,5
trend3_plus_25pct_static_qqq,2007-01-03,2026-07-31,0.11676974726369416,0.1252418748763694,0.9508658940502963,0.8264827431545335,-0.2226521959391904,0.5244491156762977,2.4836899854040446,0.50760392019177,0.7948461690580968,8.68573534528037,4925,10
trend3_plus_25pct_static_qqq,2007-01-03,2026-07-31,0.11399664722001734,0.12522077618629548,0.931928383187534,0.807196631710655,-0.2247513587502955,0.5072122716137638,2.4836899854040446,0.5074529063946187,0.7947435850897763,8.273174605046794,4925,20
trend3_plus_25pct_static_qqq,2007-01-03,2026-07-31,0.10984636763243749,0.12521124606860784,0.9033505479188172,0.7781155274981392,-0.2278912178364514,0.4820122893514481,2.4836899854040446,0.5072263856988922,0.7944492841628897,7.690304007914622,4925,35
trend3_plus_25pct_static_qqq,2007-01-03,2026-07-31,0.10570731339269934,0.1252282615880479,0.8745829304159273,0.7488687413155265,-0.23102044078907202,0.45756692798111753,2.4836899854040446,0.5069998650031653,0.7939865950528109,7.147962315714795,4925,50
trend3_plus_33pct_static_qqq,2007-01-03,2026-07-31,0.12353780937174452,0.13320812527659093,0.9466368771374687,0.8290797340896144,-0.26062628234516383,0.4740036509753671,2.2303512155079166,0.5657654764740132,0.8329393985632983,9.776151609660875,4925,5
trend3_plus_33pct_static_qqq,2007-01-03,2026-07-31,0.12228498627125783,0.133194020944083,0.9387136715532187,0.8210167877126116,-0.26153364753678965,0.46756884792063375,2.2303512155079166,0.5656986028003795,0.8329291369793356,9.564976443826783,4925,10
trend3_plus_33pct_static_qqq,2007-01-03,2026-07-31,0.11978237149710047,0.13317236039556626,0.922816847885682,0.8048456276351236,-0.26334556340628823,0.454848640500166,2.2303512155079166,0.5655648554531116,0.8328676529767667,9.15602706703708,4925,20
trend3_plus_33pct_static_qqq,2007-01-03,2026-07-31,0.11603601896485083,0.13315624704788492,0.8988513466233048,0.7804816724195658,-0.2660564128636006,0.43613314077243887,2.2303512155079166,0.5653642344322094,0.8326729627379934,8.574717059800854,4925,35
trend3_plus_33pct_static_qqq,2007-01-03,2026-07-31,0.11229873569439364,0.13315979236750222,0.8747508840610648,0.7559987048605775,-0.2687588521755421,0.4178419977067203,2.2303512155079166,0.5651636134113073,0.8323553248186603,8.02982447005971,4925,50
